transcriptID_trim,log2FoldChange
TRINITY_DN143689_c1_g1,1.089909617
TRINITY_DN145806_c0_g12,0.741923859
TRINITY_DN139285_c5_g9,1.193604905
TRINITY_DN131969_c0_g1,-0.616817361
TRINITY_DN122063_c0_g1,1.597480313
TRINITY_DN149736_c3_g2,-1.46915052
TRINITY_DN147399_c0_g7,-1.003447333
TRINITY_DN2893_c0_g1,-1.560747756
TRINITY_DN149864_c0_g19,-1.377643937
TRINITY_DN137806_c0_g1,-1.107512893
TRINITY_DN122476_c0_g1,1.010491641
TRINITY_DN139396_c1_g2,-0.478690164
TRINITY_DN137385_c0_g6,-1.22176994
TRINITY_DN140603_c0_g3,0.429694894
TRINITY_DN146254_c3_g16,1.382175158
TRINITY_DN140781_c7_g3,-1.611798829
TRINITY_DN143635_c3_g9,0.51750988
TRINITY_DN145617_c1_g24,0.470871391
TRINITY_DN131434_c0_g1,0.894818617
TRINITY_DN145613_c0_g17,-1.157057809
TRINITY_DN146201_c0_g2,-0.885993939
TRINITY_DN147618_c1_g1,-1.748425171
TRINITY_DN141781_c0_g3,1.721231285
TRINITY_DN148848_c2_g13,1.318007406
TRINITY_DN132736_c0_g1,1.935115265
TRINITY_DN144469_c0_g1,1.057334549
TRINITY_DN150649_c2_g3,1.691878759
TRINITY_DN132569_c2_g1,0.664630128
TRINITY_DN147122_c2_g9,-1.583715525
TRINITY_DN150888_c0_g1,0.823461723
TRINITY_DN127141_c1_g12,-1.136912306
TRINITY_DN134313_c2_g9,-1.142058477
TRINITY_DN151391_c6_g5,-0.512220626
TRINITY_DN144989_c1_g2,1.83910822
TRINITY_DN148826_c9_g3,-0.850666297
TRINITY_DN135371_c2_g1,-0.648122768
TRINITY_DN145137_c0_g1,1.669515734
TRINITY_DN151066_c10_g5,0.733133343
TRINITY_DN126958_c1_g1,1.366765238
TRINITY_DN148124_c0_g7,-0.650252932
TRINITY_DN150210_c2_g2,0.981094686
TRINITY_DN150588_c1_g2,1.251940164
TRINITY_DN132862_c0_g14,1.547776833
TRINITY_DN82574_c0_g3,1.057797912
TRINITY_DN82139_c0_g1,0.760758985
TRINITY_DN140665_c0_g3,1.676685934
TRINITY_DN140954_c0_g19,-1.500481158
TRINITY_DN143150_c3_g7,-1.569900595
TRINITY_DN122489_c0_g1,1.619207713
TRINITY_DN142213_c0_g3,-1.124137156
TRINITY_DN145324_c2_g3,-0.622087719
TRINITY_DN112651_c0_g1,-0.786314625
TRINITY_DN145730_c2_g4,1.077541457
TRINITY_DN147235_c0_g18,1.058705347
TRINITY_DN148576_c0_g5,-1.335503238
TRINITY_DN150493_c0_g3,1.626310595
TRINITY_DN122898_c0_g1,0.730540959
TRINITY_DN131689_c0_g1,-0.901484858
TRINITY_DN134017_c0_g3,-1.071719571
TRINITY_DN136866_c0_g1,0.863405651
TRINITY_DN137935_c1_g5,-1.091896516
TRINITY_DN138634_c0_g4,-2.006105845
TRINITY_DN140180_c1_g3,1.580557633
TRINITY_DN146956_c2_g1,1.188092131
TRINITY_DN149927_c2_g2,-1.385400845
TRINITY_DN150670_c1_g5,0.83973972
TRINITY_DN140158_c0_g4,-0.633812641
TRINITY_DN151349_c3_g1,-0.803871371
TRINITY_DN126990_c0_g1,0.483139925
TRINITY_DN133065_c4_g6,1.325784205
TRINITY_DN136683_c1_g1,0.346313429
TRINITY_DN140680_c0_g2,-1.407627184
TRINITY_DN144831_c4_g1,0.521557657
TRINITY_DN145257_c0_g2,-0.734588218
TRINITY_DN129245_c0_g2,1.105567328
TRINITY_DN137748_c0_g3,1.619485919
TRINITY_DN147235_c0_g12,0.91935958
TRINITY_DN150513_c3_g3,-0.699302515
TRINITY_DN148386_c0_g20,-1.128217476
TRINITY_DN133981_c1_g3,-1.111398692
TRINITY_DN151075_c0_g2,1.582016174
TRINITY_DN135796_c1_g15,0.69627182
TRINITY_DN148472_c1_g4,1.487964568
TRINITY_DN151500_c15_g1,-1.495100968
TRINITY_DN132835_c0_g2,2.984815321
TRINITY_DN144690_c0_g3,-0.941197629
TRINITY_DN114508_c0_g4,-1.494411579
TRINITY_DN145233_c0_g6,1.440607608
TRINITY_DN143713_c0_g19,0.737580442
TRINITY_DN142877_c0_g1,1.43098659
TRINITY_DN149736_c3_g4,-1.630834866
TRINITY_DN57533_c0_g1,1.303906794
TRINITY_DN143570_c0_g7,0.906563707
TRINITY_DN100115_c0_g1,1.333295819
TRINITY_DN140666_c3_g4,1.139188526
TRINITY_DN136823_c0_g3,-0.860614974
TRINITY_DN143539_c3_g26,1.727623465
TRINITY_DN150216_c1_g3,2.157610641
TRINITY_DN138931_c1_g6,0.337785985
TRINITY_DN139699_c2_g1,-0.485845211
TRINITY_DN150909_c5_g1,-1.111514735
TRINITY_DN140317_c0_g2,-1.280217453
TRINITY_DN150993_c5_g1,0.74281405
TRINITY_DN139408_c0_g3,1.37689366
TRINITY_DN150826_c1_g5,0.662777368
TRINITY_DN135413_c1_g8,1.138210513
TRINITY_DN135926_c0_g2,-0.798683784
TRINITY_DN131932_c7_g17,2.200442568
TRINITY_DN130320_c1_g1,-1.086268905
TRINITY_DN142497_c0_g2,0.635871499
TRINITY_DN108348_c0_g1,1.740125673
TRINITY_DN138195_c4_g1,1.363875732
TRINITY_DN147857_c2_g3,1.495543792
TRINITY_DN150151_c4_g7,1.183057275
TRINITY_DN146918_c0_g3,1.338076111
TRINITY_DN141009_c0_g7,1.540640053
TRINITY_DN108081_c0_g1,0.717526653
TRINITY_DN138601_c8_g1,-1.176617896
